iter	Passed	Remaining
403	9133	13474
404	9156	13451
405	9179	13429
406	9202	13407
407	9224	13385
408	9246	13361
409	9269	13339
410	9290	13314
411	9313	13291
412	9334	13266
413	9357	13244
414	9378	13220
415	9401	13197
416	9423	13174
417	9444	13149
418	9466	13127
419	9489	13104
420	9510	13079
421	9535	13060
422	9563	13045
423	9589	13026
424	9612	13005
425	9633	12980
426	9656	12958
427	9678	12935
428	9701	12912
429	9723	12889
430	9746	12866
431	9769	12845
432	9791	12821
433	9814	12799
434	9836	12775
435	9859	12754
436	9882	12731
437	9906	12710
438	9927	12686
439	9950	12664
440	9972	12641
441	9995	12618
442	10016	12593
443	10038	12571
444	10059	12546
445	10082	12524
446	10103	12499
447	10127	12478
448	10148	12454
449	10172	12432
450	10194	12409
451	10216	12386
452	10238	12362
453	10260	12339
454	10281	12314
455	10306	12295
456	10336	12281
457	10358	12258
458	10381	12235
459	10413	12224
460	10440	12207
461	10466	12188
462	10490	12167
463	10518	12151
464	10549	12137
465	10580	12124
466	10607	12106
467	10636	12090
468	10657	12066
469	10680	12043
470	10700	12018
471	10723	11996
472	10746	11973
473	10768	11950
474	10789	11925
475	10814	11905
476	10836	11881
477	10859	11859
478	10880	11834
479	10903	11811
480	10925	11788
481	10946	11764
482	10969	11741
483	10989	11716
484	11012	11693
485	11033	11669
486	11067	11657
487	11088	11634
488	11112	11612
489	11134	11588
490	11158	11567
491	11180	11543
492	11203	11521
493	11225	11498
494	11248	11475
495	11286	11468
496	11309	11445
497	11331	11422
498	11354	11400
499	11376	11376
500	11399	11354
501	11422	11331
502	11444	11307
503	11467	11285
504	11482	11254
505	11504	11231
506	11528	11210
507	11556	11192
508	11583	11173
509	11587	11133
510	11610	11110
511	11633	11088
512	11655	11064
513	11679	11043
514	11702	11020
515	11725	10998
516	11747	10974
517	11770	10952
518	11793	10929
519	11814	10905
520	11836	10882
521	11841	10843
522	11862	10819
523	11876	10788
524	11898	10765
525	11920	10742
526	11943	10719
527	11964	10695
528	11986	10672
529	12008	10649
530	12030	10625
531	12052	10602
532	12074	10579
533	12097	10557
534	12119	10534
535	12143	10511
536	12166	10489
537	12188	10466
538	12211	10444
539	12233	10421
540	12256	10398
541	12277	10374
542	12299	10351
543	12322	10329
544	12343	10304
545	12370	10285
546	12391	10262
