iter	F1	Logloss
0	0.848295651	0.6894677891
1	0.8490102536	0.6865278916
2	0.8507311468	0.6835440088
3	0.8517720878	0.6800639272
4	0.8489756016	0.6773808724
5	0.8496730002	0.6738360877
6	0.8510712405	0.6707460714
7	0.8496730002	0.6679501475
8	0.8510712405	0.664850359
9	0.8496730002	0.662136712
10	0.8489756016	0.659962886
11	0.8496730002	0.6576256727
12	0.8496730002	0.6545632472
13	0.8496730002	0.6520768054
14	0.8510712405	0.649907992
15	0.8510712405	0.6471757503
16	0.8510712405	0.6447949444
17	0.8503715456	0.6429324005
18	0.8489756016	0.6406538116
19	0.8489756016	0.6388354163
20	0.8489756016	0.6372774867
21	0.8489756016	0.6351814568
22	0.8489756016	0.6334530417
23	0.8489756016	0.6311935462
24	0.8489756016	0.6292345769
25	0.8496730002	0.6269561801
26	0.8510712405	0.6245594755
27	0.8510712405	0.6224297392
28	0.8510712405	0.6209338319
29	0.8510712405	0.6193014223
30	0.8510712405	0.6177167898
31	0.8503715456	0.6164997121
32	0.8503715456	0.6147016784
33	0.8489756016	0.6129839839
34	0.8489756016	0.6118338161
35	0.8496730002	0.6101877409
36	0.8489756016	0.6083012302
37	0.8489756016	0.6069993435
38	0.8489756016	0.6051531547
39	0.8489756016	0.6036066205
40	0.8482793468	0.6021584851
41	0.8475842331	0.6010899141
42	0.8475842331	0.5993574754
43	0.8475842331	0.5969097623
44	0.8475842331	0.5955952825
45	0.8475842331	0.5943045374
46	0.8475842331	0.5927177484
47	0.8475842331	0.5912290789
48	0.8482793468	0.5899738622
49	0.8475842331	0.5882886534
50	0.8475842331	0.587092846
51	0.8475842331	0.5859400824
52	0.8475842331	0.5846953098
53	0.8475842331	0.5837484869
54	0.8475842331	0.5823249209
55	0.8489756016	0.5804392709
56	0.8496730002	0.578412903
57	0.8510712405	0.5772031252
58	0.8510712405	0.575854521
59	0.8510712405	0.5742750185
60	0.8510712405	0.5730787566
61	0.8510712405	0.5721819273
62	0.8510712405	0.5710181217
63	0.8510712405	0.5700375102
64	0.8510712405	0.5684605804
65	0.8510712405	0.5667577787
66	0.8510712405	0.5652298468
67	0.8510712405	0.5644553108
68	0.8510712405	0.5638061789
69	0.8510712405	0.5629081949
70	0.8510712405	0.5619735074
71	0.8510712405	0.5609673712
72	0.8510712405	0.56018563
73	0.8510712405	0.5591505007
74	0.8510712405	0.5584118339
75	0.8510712405	0.5574275282
76	0.8510712405	0.5568525694
77	0.8510712405	0.5559420545
78	0.8510712405	0.554558699
79	0.8510712405	0.5537016995
80	0.8510712405	0.5527508872
81	0.8510712405	0.5519237839
82	0.8510712405	0.5511072233
83	0.8510712405	0.5503468571
84	0.8510712405	0.5493599406
85	0.8510712405	0.5486351372
86	0.8510712405	0.5477968993
87	0.8510712405	0.5468989246
88	0.8510712405	0.5460305898
89	0.8510712405	0.5451788972
90	0.8510712405	0.5440618208
91	0.8510712405	0.5431368907
92	0.8510712405	0.5428048317
93	0.8510712405	0.5425251878
94	0.8510712405	0.5418338744
95	0.8510712405	0.5406889765
96	0.8510712405	0.5399789479
97	0.8510712405	0.5391456721
98	0.8510712405	0.5381802825
